SPCODE,taxa,genus,species,variety,tolerance,native,family,hydrophyte,form,habit,group,shade,clemet.tier,odnr.class,ohio.noxious,clemet.priority
ERIGER,Erigeron_sp,Erigeron,sp,NA,NA,native,Asteraceae,upland,forb,NA,DI,full,NA,NA,NA,NA
EUOALA,Euonymus_alatus,Euonymus,alatus,NA,tolerant,adventive,Celastraceae,upland,shrub,W,DI,advent,NA,established,FALSE,FALSE
EUOFOR,Euonymus_fortunei,Euonymus,fortunei,NA,tolerant,adventive,Celastraceae,upland,vine,W,DI,advent,2,established,FALSE,FALSE
EUOOBO,Euonymus_obovatus,Euonymus,obovatus,NA,midrange,native,Celastraceae,FAC,shrub,W,DI,full,NA,NA,NA,NA
EUPMAC,Eupatorium_maculatum,Eupatorium,maculatum,NA,sensitive,native,Asteraceae,hydrophyte,forb,PE,DI,full,NA,NA,NA,NA
EUPPER,Eupatorium_perfoliatum,Eupatorium,perfoliatum,NA,midrange,native,Asteraceae,hydrophyte,forb,PE,DI,full,NA,NA,NA,NA
EUPPUR,Eupatorium_purpureum,Eupatorium,purpureum,NA,midrange,native,Asteraceae,FAC,forb,PE,DI,partial,NA,NA,NA,NA
EUPRUG,Eupatorium_rugosum,Eupatorium,rugosum,NA,midrange,native,Asteraceae,upland,forb,PE,DI,shade,NA,NA,NA,NA
EUPHMA,Euphorbia_maculata,Euphorbia,maculata,NA,tolerant,native,Euphorbiaceae,upland,forb,AN,DI,full,NA,NA,NA,NA
EUTGRA,Euthamia_graminifolia,Euthamia,graminifolia,NA,tolerant,native,Asteraceae,FAC,forb,PE,DI,full,NA,NA,NA,NA
FAGGRA,Fagus_grandifolia,Fagus,grandifolia,NA,sensitive,native,Fagaceae,upland,tree,W,DI,tree,NA,NA,NA,NA
FESELA,Festuca_elatior,Festuca,elatior,NA,tolerant,adventive,Poaceae,upland,grass,PE,MO,advent,NA,NA,FALSE,FALSE
FESSUB,Festuca_subverticillata,Festuca,subverticillata,NA,midrange,native,Poaceae,upland,grass,PE,MO,shade,NA,NA,NA,NA
FRAVESV,Fragaria_vesca,Fragaria,vesca,vesca,tolerant,adventive,Rosaceae,upland,forb,PE,DI,advent,NA,NA,FALSE,FALSE
